image,imprint
D:\CURE_crops\.\143/bottom/Customer/143_bottom_6328.png,RED
D:\CURE_crops\.\143/top/Customer/143_top_6290.png,G347
D:\CURE_crops\.\143/top/Customer/143_top_6291.png,LT 500
D:\CURE_crops\.\143/top/Customer/143_top_6297.png,GOS LT
D:\CURE_crops\.\143/top/Customer/143_top_6301.png,T
D:\CURE_crops\.\143/top/Customer/143_top_6308.png,LT 500
D:\CURE_crops\.\143/top/Customer/143_top_6314.png,T
D:\CURE_crops\.\144/bottom/Customer/144_bottom_6359.png,T
D:\CURE_crops\.\144/bottom/Customer/144_bottom_6368.png,T
D:\CURE_crops\.\144/bottom/Customer/144_bottom_6369.png,T
D:\CURE_crops\.\144/bottom/Customer/144_bottom_6372.png,RED
D:\CURE_crops\.\144/bottom/Customer/144_bottom_6380.png,T
D:\CURE_crops\.\144/top/Customer/144_top_6339.png,PFIZER PGN 300
D:\CURE_crops\.\144/top/Customer/144_top_6342.png,PHILIP 3000
D:\CURE_crops\.\144/top/Customer/144_top_6348.png,T
D:\CURE_crops\.\144/top/Customer/144_top_6351.png,T
D:\CURE_crops\.\145/bottom/Customer/145_bottom_6403.png,T
D:\CURE_crops\.\145/bottom/Customer/145_bottom_6410.png,AG
D:\CURE_crops\.\145/top/Customer/145_top_6389.png,VIE
D:\CURE_crops\.\145/top/Customer/145_top_6392.png,
D:\CURE_crops\.\145/top/Customer/145_top_6393.png,V16
D:\CURE_crops\.\145/top/Customer/145_top_6394.png,V 6
D:\CURE_crops\.\145/top/Customer/145_top_6395.png,T
D:\CURE_crops\.\145/top/Customer/145_top_6399.png,T
D:\CURE_crops\.\145/top/Customer/145_top_6400.png,T
D:\CURE_crops\.\146/bottom/Customer/146_bottom_6466.png,T
D:\CURE_crops\.\146/top/Customer/146_top_6429.png,DMP
D:\CURE_crops\.\146/top/Customer/146_top_6430.png,DMP
D:\CURE_crops\.\146/top/Customer/146_top_6434.png,CME
D:\CURE_crops\.\146/top/Customer/146_top_6435.png,DHP
D:\CURE_crops\.\146/top/Customer/146_top_6438.png,B
D:\CURE_crops\.\146/top/Customer/146_top_6441.png,T
D:\CURE_crops\.\146/top/Customer/146_top_6445.png,T
D:\CURE_crops\.\146/top/Customer/146_top_6446.png,T
D:\CURE_crops\.\147/bottom/Customer/147_bottom_6506.png,T
D:\CURE_crops\.\147/bottom/Customer/147_bottom_6510.png,T
D:\CURE_crops\.\147/bottom/Customer/147_bottom_6512.png,A
D:\CURE_crops\.\147/bottom/Customer/147_bottom_6516.png,
D:\CURE_crops\.\147/bottom/Customer/147_bottom_6519.png,T
D:\CURE_crops\.\147/top/Customer/147_top_6475.png,WM C4
D:\CURE_crops\.\147/top/Customer/147_top_6477.png,CA MN2
D:\CURE_crops\.\147/top/Customer/147_top_6479.png,CA M2
D:\CURE_crops\.\147/top/Customer/147_top_6480.png,CA M2
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6552.png,T
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6555.png,HEART
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6557.png,T
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6558.png,T
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6563.png,T
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6569.png,T
D:\CURE_crops\.\148/bottom/Customer/148_bottom_6573.png,T
D:\CURE_crops\.\148/top/Customer/148_top_6523.png,B
D:\CURE_crops\.\148/top/Customer/148_top_6536.png,F
D:\CURE_crops\.\148/top/Customer/148_top_6545.png,3
D:\CURE_crops\.\148/top/Customer/148_top_6547.png,R1
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6602.png,TAP
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6603.png,TAP
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6604.png,T4
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6610.png,7143
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6611.png,T
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6619.png,T
D:\CURE_crops\.\149/bottom/Customer/149_bottom_6622.png,T
D:\CURE_crops\.\149/top/Customer/149_top_6587.png,T
D:\CURE_crops\.\149/top/Customer/149_top_6589.png,
D:\CURE_crops\.\149/top/Customer/149_top_6590.png,T
D:\CURE_crops\.\15/bottom/Customer/15_bottom_684.png,M
D:\CURE_crops\.\15/bottom/Customer/15_bottom_687.png,T
D:\CURE_crops\.\15/top/Customer/15_top_659.png,TCL 100
D:\CURE_crops\.\15/top/Customer/15_top_665.png,TCL
D:\CURE_crops\.\15/top/Customer/15_top_666.png,TCL 42
D:\CURE_crops\.\15/top/Customer/15_top_670.png,KTC KJ
D:\CURE_crops\.\15/top/Customer/15_top_671.png,TCL 103
D:\CURE_crops\.\15/top/Customer/15_top_675.png,TTC
D:\CURE_crops\.\151/bottom/Customer/151_bottom_6658.png,B
D:\CURE_crops\.\151/top/Customer/151_top_6645.png,217
D:\CURE_crops\.\151/top/Customer/151_top_6649.png,217
D:\CURE_crops\.\152/bottom/Customer/152_bottom_6683.png,T
D:\CURE_crops\.\152/bottom/Customer/152_bottom_6685.png,T
D:\CURE_crops\.\152/bottom/Customer/152_bottom_6697.png,T
D:\CURE_crops\.\152/top/Customer/152_top_6662.png,B
D:\CURE_crops\.\152/top/Customer/152_top_6668.png,RIS 15
D:\CURE_crops\.\152/top/Customer/152_top_6672.png,RDY
D:\CURE_crops\.\152/top/Customer/152_top_6678.png,R11
D:\CURE_crops\.\153/bottom/Customer/153_bottom_6719.png,T
D:\CURE_crops\.\153/bottom/Customer/153_bottom_6724.png,T
D:\CURE_crops\.\153/bottom/Customer/153_bottom_6725.png,T
D:\CURE_crops\.\153/bottom/Customer/153_bottom_6730.png,T
D:\CURE_crops\.\153/bottom/Customer/153_bottom_6737.png,T
D:\CURE_crops\.\153/top/Customer/153_top_6707.png,4047
D:\CURE_crops\.\153/top/Customer/153_top_6714.png,T
D:\CURE_crops\.\153/top/Customer/153_top_6717.png,PARNATE 50
D:\CURE_crops\.\154/bottom/Customer/154_bottom_6764.png,L
D:\CURE_crops\.\154/bottom/Customer/154_bottom_6771.png,
D:\CURE_crops\.\154/bottom/Customer/154_bottom_6773.png,T
D:\CURE_crops\.\154/bottom/Customer/154_bottom_6793.png,T
D:\CURE_crops\.\154/top/Customer/154_top_6741.png,YUP
D:\CURE_crops\.\154/top/Customer/154_top_6742.png,DP
D:\CURE_crops\.\154/top/Customer/154_top_6748.png,YJP
D:\CURE_crops\.\154/top/Customer/154_top_6750.png,WYJP
D:\CURE_crops\.\154/top/Customer/154_top_6754.png,T
D:\CURE_crops\.\154/top/Customer/154_top_6761.png,T
D:\CURE_crops\.\154/top/Customer/154_top_6762.png,B
D:\CURE_crops\.\155/bottom/Customer/155_bottom_6825.png,T
D:\CURE_crops\.\155/bottom/Customer/155_bottom_6827.png,T
D:\CURE_crops\.\155/bottom/Customer/155_bottom_6828.png,T
D:\CURE_crops\.\155/bottom/Customer/155_bottom_6835.png,T
D:\CURE_crops\.\155/bottom/Customer/155_bottom_6838.png,
D:\CURE_crops\.\155/top/Customer/155_top_6800.png,208 H
D:\CURE_crops\.\155/top/Customer/155_top_6801.png,002 HM
D:\CURE_crops\.\155/top/Customer/155_top_6807.png,HIM 200
D:\CURE_crops\.\155/top/Customer/155_top_6812.png,T
D:\CURE_crops\.\155/top/Customer/155_top_6818.png,T
D:\CURE_crops\.\156/bottom/Customer/156_bottom_6876.png,75
D:\CURE_crops\.\156/bottom/Customer/156_bottom_6880.png,
D:\CURE_crops\.\156/top/Customer/156_top_6857.png,VT
D:\CURE_crops\.\156/top/Customer/156_top_6859.png,T
D:\CURE_crops\.\156/top/Customer/156_top_6863.png,U
D:\CURE_crops\.\156/top/Customer/156_top_6865.png,N943
D:\CURE_crops\.\156/top/Customer/156_top_6866.png,T
D:\CURE_crops\.\157/bottom/Customer/157_bottom_6923.png,DP
D:\CURE_crops\.\157/bottom/Customer/157_bottom_6929.png,DA
D:\CURE_crops\.\157/bottom/Customer/157_bottom_6932.png,CA
D:\CURE_crops\.\157/top/Customer/157_top_6890.png,S4
D:\CURE_crops\.\157/top/Customer/157_top_6896.png,SLT
D:\CURE_crops\.\157/top/Customer/157_top_6898.png,SLT
D:\CURE_crops\.\157/top/Customer/157_top_6900.png,SLT
D:\CURE_crops\.\157/top/Customer/157_top_6905.png,SLV
D:\CURE_crops\.\157/top/Customer/157_top_6908.png,T
D:\CURE_crops\.\158/bottom/Customer/158_bottom_6959.png,
D:\CURE_crops\.\158/bottom/Customer/158_bottom_6971.png,U
D:\CURE_crops\.\158/bottom/Customer/158_bottom_6974.png,T
D:\CURE_crops\.\158/bottom/Customer/158_bottom_6978.png,U
D:\CURE_crops\.\158/top/Customer/158_top_6935.png,T
D:\CURE_crops\.\158/top/Customer/158_top_6943.png,T
D:\CURE_crops\.\158/top/Customer/158_top_6946.png,T
D:\CURE_crops\.\158/top/Customer/158_top_6947.png,444
D:\CURE_crops\.\158/top/Customer/158_top_6952.png,B
D:\CURE_crops\.\159/bottom/Customer/159_bottom_7000.png,T
D:\CURE_crops\.\159/bottom/Customer/159_bottom_7007.png,T
D:\CURE_crops\.\159/bottom/Customer/159_bottom_7008.png,T
D:\CURE_crops\.\159/bottom/Customer/159_bottom_7013.png,T
D:\CURE_crops\.\159/top/Customer/159_top_6980.png,SR
D:\CURE_crops\.\159/top/Customer/159_top_6981.png,SR
D:\CURE_crops\.\159/top/Customer/159_top_6999.png,T
D:\CURE_crops\.\16/bottom/Customer/16_bottom_725.png,T
D:\CURE_crops\.\16/bottom/Customer/16_bottom_728.png,L
D:\CURE_crops\.\16/bottom/Customer/16_bottom_729.png,
D:\CURE_crops\.\16/top/Customer/16_top_698.png,
D:\CURE_crops\.\16/top/Customer/16_top_702.png,FOL
D:\CURE_crops\.\16/top/Customer/16_top_706.png,FOL
D:\CURE_crops\.\16/top/Customer/16_top_709.png,FOL
D:\CURE_crops\.\16/top/Customer/16_top_716.png,T
D:\CURE_crops\.\160/bottom/Customer/160_bottom_7041.png,B
D:\CURE_crops\.\160/bottom/Customer/160_bottom_7044.png,
D:\CURE_crops\.\160/bottom/Customer/160_bottom_7050.png,
D:\CURE_crops\.\160/bottom/Customer/160_bottom_7052.png,
D:\CURE_crops\.\160/top/Customer/160_top_7024.png,3743 V
D:\CURE_crops\.\160/top/Customer/160_top_7036.png,FX 37
D:\CURE_crops\.\160/top/Customer/160_top_7037.png,T
D:\CURE_crops\.\161/bottom/Customer/161_bottom_7082.png,
D:\CURE_crops\.\161/bottom/Customer/161_bottom_7085.png,
D:\CURE_crops\.\161/bottom/Customer/161_bottom_7087.png,
D:\CURE_crops\.\161/bottom/Customer/161_bottom_7088.png,T
D:\CURE_crops\.\161/bottom/Customer/161_bottom_7091.png,T
D:\CURE_crops\.\161/top/Customer/161_top_7062.png,100
D:\CURE_crops\.\161/top/Customer/161_top_7064.png,B
D:\CURE_crops\.\161/top/Customer/161_top_7073.png,T
D:\CURE_crops\.\162/bottom/Customer/162_bottom_7122.png,B
D:\CURE_crops\.\162/bottom/Customer/162_bottom_7127.png,S
D:\CURE_crops\.\162/bottom/Customer/162_bottom_7130.png,B
D:\CURE_crops\.\162/top/Customer/162_top_7102.png,TN 50 PFIZER
D:\CURE_crops\.\162/top/Customer/162_top_7105.png,
D:\CURE_crops\.\162/top/Customer/162_top_7106.png,N50 PYLER
D:\CURE_crops\.\162/top/Customer/162_top_7109.png,
D:\CURE_crops\.\162/top/Customer/162_top_7115.png,T
D:\CURE_crops\.\163/bottom/Customer/163_bottom_7169.png,L
D:\CURE_crops\.\163/bottom/Customer/163_bottom_7173.png,HEYL 20
D:\CURE_crops\.\163/bottom/Customer/163_bottom_7174.png,T
D:\CURE_crops\.\163/bottom/Customer/163_bottom_7178.png,T
D:\CURE_crops\.\163/bottom/Customer/163_bottom_7181.png,B
D:\CURE_crops\.\163/top/Customer/163_top_7139.png,MHX
D:\CURE_crops\.\163/top/Customer/163_top_7141.png,MHX
D:\CURE_crops\.\163/top/Customer/163_top_7153.png,T
D:\CURE_crops\.\164/bottom/Customer/164_bottom_7206.png,2
D:\CURE_crops\.\164/bottom/Customer/164_bottom_7207.png,P
D:\CURE_crops\.\164/bottom/Customer/164_bottom_7215.png,A
D:\CURE_crops\.\164/bottom/Customer/164_bottom_7221.png,B
D:\CURE_crops\.\164/bottom/Customer/164_bottom_7223.png,C
D:\CURE_crops\.\164/top/Customer/164_top_7190.png,
D:\CURE_crops\.\164/top/Customer/164_top_7191.png,B
D:\CURE_crops\.\164/top/Customer/164_top_7198.png,C
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7248.png,WPI
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7249.png,ANA
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7253.png,T
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7255.png,WAT
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7266.png,4 WA 1
D:\CURE_crops\.\165/bottom/Customer/165_bottom_7269.png,T
D:\CURE_crops\.\165/top/Customer/165_top_7227.png,H
D:\CURE_crops\.\165/top/Customer/165_top_7232.png,
D:\CURE_crops\.\165/top/Customer/165_top_7247.png,S
D:\CURE_crops\.\166/bottom/Customer/166_bottom_7295.png,
D:\CURE_crops\.\166/bottom/Customer/166_bottom_7300.png,T
D:\CURE_crops\.\166/top/Customer/166_top_7276.png,DB 500
D:\CURE_crops\.\166/top/Customer/166_top_7278.png,DP
D:\CURE_crops\.\166/top/Customer/166_top_7279.png,B
D:\CURE_crops\.\166/top/Customer/166_top_7280.png,DB 500
D:\CURE_crops\.\166/top/Customer/166_top_7289.png,T
D:\CURE_crops\.\167/bottom/Customer/167_bottom_7337.png,4
D:\CURE_crops\.\167/bottom/Customer/167_bottom_7338.png,4
D:\CURE_crops\.\167/bottom/Customer/167_bottom_7347.png,T
D:\CURE_crops\.\167/top/Customer/167_top_7310.png,EI 5
D:\CURE_crops\.\167/top/Customer/167_top_7316.png,LTE
D:\CURE_crops\.\167/top/Customer/167_top_7320.png,ELS
D:\CURE_crops\.\167/top/Customer/167_top_7323.png,
D:\CURE_crops\.\167/top/Customer/167_top_7324.png,E
D:\CURE_crops\.\168/bottom/Customer/168_bottom_7372.png,B
D:\CURE_crops\.\168/bottom/Customer/168_bottom_7373.png,
D:\CURE_crops\.\168/bottom/Customer/168_bottom_7380.png,RED BLUE
D:\CURE_crops\.\168/top/Customer/168_top_7357.png,YH
D:\CURE_crops\.\168/top/Customer/168_top_7361.png,B
D:\CURE_crops\.\168/top/Customer/168_top_7362.png,
D:\CURE_crops\.\168/top/Customer/168_top_7365.png,RPH
D:\CURE_crops\.\169/bottom/Customer/169_bottom_7414.png,T
D:\CURE_crops\.\169/bottom/Customer/169_bottom_7422.png,T
D:\CURE_crops\.\169/bottom/Customer/169_bottom_7424.png,T
D:\CURE_crops\.\169/bottom/Customer/169_bottom_7428.png,T
D:\CURE_crops\.\169/bottom/Customer/169_bottom_7429.png,T
D:\CURE_crops\.\169/top/Customer/169_top_7401.png,T
D:\CURE_crops\.\169/top/Customer/169_top_7402.png,T
D:\CURE_crops\.\169/top/Customer/169_top_7403.png,THC HU
D:\CURE_crops\.\17/bottom/Customer/17_bottom_763.png,
D:\CURE_crops\.\17/bottom/Customer/17_bottom_767.png,
D:\CURE_crops\.\17/bottom/Customer/17_bottom_771.png,T
D:\CURE_crops\.\17/bottom/Customer/17_bottom_774.png,T
D:\CURE_crops\.\17/top/Customer/17_top_745.png,PT20
D:\CURE_crops\.\17/top/Customer/17_top_746.png,PTLO
D:\CURE_crops\.\17/top/Customer/17_top_753.png,PT20
D:\CURE_crops\.\17/top/Customer/17_top_757.png,PT20
D:\CURE_crops\.\170/bottom/Customer/170_bottom_7455.png,DW
D:\CURE_crops\.\170/bottom/Customer/170_bottom_7457.png,DW
D:\CURE_crops\.\170/bottom/Customer/170_bottom_7461.png,M D
D:\CURE_crops\.\170/bottom/Customer/170_bottom_7469.png,108
D:\CURE_crops\.\170/bottom/Customer/170_bottom_7472.png,T
D:\CURE_crops\.\170/top/Customer/170_top_7442.png,H
D:\CURE_crops\.\170/top/Customer/170_top_7445.png,T
D:\CURE_crops\.\170/top/Customer/170_top_7451.png,T
D:\CURE_crops\.\171/bottom/Customer/171_bottom_7496.png,M
D:\CURE_crops\.\171/bottom/Customer/171_bottom_7497.png,T
D:\CURE_crops\.\171/bottom/Customer/171_bottom_7498.png,L1
D:\CURE_crops\.\171/bottom/Customer/171_bottom_7506.png,
D:\CURE_crops\.\171/top/Customer/171_top_7477.png,B
D:\CURE_crops\.\171/top/Customer/171_top_7479.png,T
D:\CURE_crops\.\171/top/Customer/171_top_7482.png,L
D:\CURE_crops\.\171/top/Customer/171_top_7488.png,B 5
D:\CURE_crops\.\171/top/Customer/171_top_7491.png,T
D:\CURE_crops\.\172/bottom/Customer/172_bottom_7549.png,L
D:\CURE_crops\.\172/bottom/Customer/172_bottom_7552.png,T
D:\CURE_crops\.\172/bottom/Customer/172_bottom_7556.png,T
D:\CURE_crops\.\172/top/Customer/172_top_7520.png,T 51
D:\CURE_crops\.\172/top/Customer/172_top_7526.png,TG TU
D:\CURE_crops\.\172/top/Customer/172_top_7529.png,51
D:\CURE_crops\.\172/top/Customer/172_top_7530.png,T31
D:\CURE_crops\.\172/top/Customer/172_top_7538.png,G341
D:\CURE_crops\.\173/bottom/Customer/173_bottom_7584.png,
D:\CURE_crops\.\173/bottom/Customer/173_bottom_7589.png,
D:\CURE_crops\.\173/bottom/Customer/173_bottom_7597.png,T
D:\CURE_crops\.\173/top/Customer/173_top_7560.png,AE ME
D:\CURE_crops\.\173/top/Customer/173_top_7563.png,W A
D:\CURE_crops\.\173/top/Customer/173_top_7565.png,A ME
D:\CURE_crops\.\173/top/Customer/173_top_7578.png,T
D:\CURE_crops\.\173/top/Customer/173_top_7579.png,TAP
D:\CURE_crops\.\174/bottom/Customer/174_bottom_7625.png,L
D:\CURE_crops\.\174/bottom/Customer/174_bottom_7626.png,
D:\CURE_crops\.\174/bottom/Customer/174_bottom_7638.png,T
D:\CURE_crops\.\174/top/Customer/174_top_7603.png,M B
D:\CURE_crops\.\174/top/Customer/174_top_7607.png,TEVA
D:\CURE_crops\.\174/top/Customer/174_top_7614.png,TJM
D:\CURE_crops\.\174/top/Customer/174_top_7617.png,TJM
D:\CURE_crops\.\174/top/Customer/174_top_7618.png,T
D:\CURE_crops\.\175/bottom/Customer/175_bottom_7664.png,500
D:\CURE_crops\.\175/bottom/Customer/175_bottom_7683.png,T
D:\CURE_crops\.\175/top/Customer/175_top_7644.png,R179
D:\CURE_crops\.\175/top/Customer/175_top_7649.png,
D:\CURE_crops\.\175/top/Customer/175_top_7650.png,RLF
D:\CURE_crops\.\175/top/Customer/175_top_7653.png,T
D:\CURE_crops\.\175/top/Customer/175_top_7661.png,T
D:\CURE_crops\.\175/top/Customer/175_top_7662.png,RLF
D:\CURE_crops\.\176/bottom/Customer/176_bottom_7713.png,L
D:\CURE_crops\.\176/bottom/Customer/176_bottom_7718.png,
D:\CURE_crops\.\176/bottom/Customer/176_bottom_7723.png,T
D:\CURE_crops\.\176/top/Customer/176_top_7686.png,500 20
D:\CURE_crops\.\176/top/Customer/176_top_7687.png,500 20
D:\CURE_crops\.\176/top/Customer/176_top_7688.png,500 20
D:\CURE_crops\.\176/top/Customer/176_top_7696.png,T
D:\CURE_crops\.\176/top/Customer/176_top_7701.png,500 20
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7750.png,
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7755.png,
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7756.png,Y
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7757.png,L
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7758.png,
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7759.png,
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7767.png,T
D:\CURE_crops\.\177/bottom/Customer/177_bottom_7768.png,T
D:\CURE_crops\.\177/top/Customer/177_top_7730.png,NAXOZOL 500 20
D:\CURE_crops\.\178/bottom/Customer/178_bottom_7802.png,T
D:\CURE_crops\.\178/bottom/Customer/178_bottom_7803.png,T
D:\CURE_crops\.\178/bottom/Customer/178_bottom_7806.png,T
D:\CURE_crops\.\178/bottom/Customer/178_bottom_7807.png,T
D:\CURE_crops\.\178/top/Customer/178_top_7772.png,PT
D:\CURE_crops\.\178/top/Customer/178_top_7775.png,PT
D:\CURE_crops\.\178/top/Customer/178_top_7777.png,TP
D:\CURE_crops\.\179/bottom/Customer/179_bottom_7834.png,
D:\CURE_crops\.\179/bottom/Customer/179_bottom_7836.png,
D:\CURE_crops\.\179/bottom/Customer/179_bottom_7843.png,T
D:\CURE_crops\.\179/bottom/Customer/179_bottom_7849.png,T
D:\CURE_crops\.\179/top/Customer/179_top_7823.png,G CMS
D:\CURE_crops\.\179/top/Customer/179_top_7824.png,G3M5
D:\CURE_crops\.\179/top/Customer/179_top_7827.png,T
D:\CURE_crops\.\179/top/Customer/179_top_7830.png,T
D:\CURE_crops\.\18/bottom/Customer/18_bottom_810.png,T
D:\CURE_crops\.\18/bottom/Customer/18_bottom_821.png,T
D:\CURE_crops\.\18/bottom/Customer/18_bottom_822.png,T
D:\CURE_crops\.\18/top/Customer/18_top_781.png,S
D:\CURE_crops\.\18/top/Customer/18_top_782.png,SP
D:\CURE_crops\.\18/top/Customer/18_top_787.png,T
D:\CURE_crops\.\18/top/Customer/18_top_793.png,A
D:\CURE_crops\.\18/top/Customer/18_top_800.png,SP
D:\CURE_crops\.\180/bottom/Customer/180_bottom_7877.png,
D:\CURE_crops\.\180/bottom/Customer/180_bottom_7885.png,102
D:\CURE_crops\.\180/bottom/Customer/180_bottom_7886.png,RED
D:\CURE_crops\.\180/bottom/Customer/180_bottom_7890.png,Z01
D:\CURE_crops\.\180/top/Customer/180_top_7855.png,KPY
D:\CURE_crops\.\180/top/Customer/180_top_7860.png,KPH
D:\CURE_crops\.\180/top/Customer/180_top_7870.png,RED
D:\CURE_crops\.\180/top/Customer/180_top_7871.png,T
D:\CURE_crops\.\181/bottom/Customer/181_bottom_7920.png,
D:\CURE_crops\.\181/bottom/Customer/181_bottom_7922.png,HT
D:\CURE_crops\.\181/bottom/Customer/181_bottom_7926.png,HT
D:\CURE_crops\.\181/bottom/Customer/181_bottom_7944.png,HT
D:\CURE_crops\.\181/top/Customer/181_top_7901.png,A 1
D:\CURE_crops\.\181/top/Customer/181_top_7906.png,T
D:\CURE_crops\.\181/top/Customer/181_top_7910.png,
D:\CURE_crops\.\181/top/Customer/181_top_7912.png,B
D:\CURE_crops\.\181/top/Customer/181_top_7917.png,T
D:\CURE_crops\.\181/top/Customer/181_top_7918.png,B
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7971.png,T
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7985.png,T
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7987.png,T
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7989.png,T
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7991.png,T
D:\CURE_crops\.\182/bottom/Customer/182_bottom_7992.png,T
D:\CURE_crops\.\182/top/Customer/182_top_7951.png,Z 40 LIN
D:\CURE_crops\.\182/top/Customer/182_top_7959.png,T
D:\CURE_crops\.\182/top/Customer/182_top_7961.png,HTN CO
D:\CURE_crops\.\183/bottom/Customer/183_bottom_8026.png,T4
D:\CURE_crops\.\183/bottom/Customer/183_bottom_8028.png,T
D:\CURE_crops\.\183/bottom/Customer/183_bottom_8037.png,T
D:\CURE_crops\.\183/bottom/Customer/183_bottom_8038.png,N1
D:\CURE_crops\.\183/top/Customer/183_top_7993.png,MS
D:\CURE_crops\.\183/top/Customer/183_top_7994.png,MS
D:\CURE_crops\.\183/top/Customer/183_top_7995.png,SW
D:\CURE_crops\.\183/top/Customer/183_top_8005.png,B
D:\CURE_crops\.\183/top/Customer/183_top_8006.png,T
D:\CURE_crops\.\184/bottom/Customer/184_bottom_8066.png,D
D:\CURE_crops\.\184/bottom/Customer/184_bottom_8072.png,ID
D:\CURE_crops\.\184/bottom/Customer/184_bottom_8081.png,B
D:\CURE_crops\.\184/bottom/Customer/184_bottom_8083.png,
D:\CURE_crops\.\184/bottom/Customer/184_bottom_8087.png,G
D:\CURE_crops\.\184/top/Customer/184_top_8051.png,T
D:\CURE_crops\.\184/top/Customer/184_top_8059.png,T
D:\CURE_crops\.\184/top/Customer/184_top_8061.png,T
D:\CURE_crops\.\184/top/Customer/184_top_8065.png,T
D:\CURE_crops\.\185/bottom/Customer/185_bottom_8112.png,B
D:\CURE_crops\.\185/bottom/Customer/185_bottom_8123.png,
D:\CURE_crops\.\185/top/Customer/185_top_8090.png,CN 8
D:\CURE_crops\.\185/top/Customer/185_top_8094.png,BC
D:\CURE_crops\.\185/top/Customer/185_top_8096.png,CN 89
D:\CURE_crops\.\185/top/Customer/185_top_8101.png,CN
D:\CURE_crops\.\185/top/Customer/185_top_8103.png,T
D:\CURE_crops\.\185/top/Customer/185_top_8104.png,344
D:\CURE_crops\.\186/bottom/Customer/186_bottom_8171.png,5
D:\CURE_crops\.\186/bottom/Customer/186_bottom_8173.png,B
D:\CURE_crops\.\186/bottom/Customer/186_bottom_8174.png,5
D:\CURE_crops\.\186/top/Customer/186_top_8131.png,X
D:\CURE_crops\.\186/top/Customer/186_top_8133.png,D
D:\CURE_crops\.\186/top/Customer/186_top_8135.png,CHU
D:\CURE_crops\.\186/top/Customer/186_top_8139.png,M C
D:\CURE_crops\.\186/top/Customer/186_top_8142.png,T
D:\CURE_crops\.\186/top/Customer/186_top_8151.png,M D
D:\CURE_crops\.\187/bottom/Customer/187_bottom_8207.png,30
D:\CURE_crops\.\187/bottom/Customer/187_bottom_8209.png,T
D:\CURE_crops\.\187/bottom/Customer/187_bottom_8212.png,T
D:\CURE_crops\.\187/bottom/Customer/187_bottom_8221.png,RED
D:\CURE_crops\.\187/bottom/Customer/187_bottom_8224.png,
D:\CURE_crops\.\187/top/Customer/187_top_8186.png,TAP
D:\CURE_crops\.\187/top/Customer/187_top_8190.png,T
D:\CURE_crops\.\187/top/Customer/187_top_8194.png,T
D:\CURE_crops\.\187/top/Customer/187_top_8195.png,M L
D:\CURE_crops\.\187/top/Customer/187_top_8197.png,MTL
D:\CURE_crops\.\188/bottom/Customer/188_bottom_8269.png,T
D:\CURE_crops\.\188/bottom/Customer/188_bottom_8270.png,
D:\CURE_crops\.\188/top/Customer/188_top_8231.png,93 V
D:\CURE_crops\.\188/top/Customer/188_top_8232.png,T383
D:\CURE_crops\.\188/top/Customer/188_top_8235.png,931
D:\CURE_crops\.\188/top/Customer/188_top_8237.png,T
D:\CURE_crops\.\188/top/Customer/188_top_8239.png,T
D:\CURE_crops\.\188/top/Customer/188_top_8249.png,T
D:\CURE_crops\.\189/bottom/Customer/189_bottom_8295.png,45
D:\CURE_crops\.\189/bottom/Customer/189_bottom_8296.png,9 10
D:\CURE_crops\.\189/top/Customer/189_top_8272.png,B
D:\CURE_crops\.\189/top/Customer/189_top_8273.png,PLIVA
D:\CURE_crops\.\189/top/Customer/189_top_8278.png,PENETIL
D:\CURE_crops\.\189/top/Customer/189_top_8279.png,7
D:\CURE_crops\.\189/top/Customer/189_top_8281.png,MONTE
D:\CURE_crops\.\189/top/Customer/189_top_8291.png,LILLY 0
D:\CURE_crops\.\19/bottom/Customer/19_bottom_847.png,D X
D:\CURE_crops\.\19/bottom/Customer/19_bottom_849.png,DP
D:\CURE_crops\.\19/bottom/Customer/19_bottom_853.png,PD
D:\CURE_crops\.\19/bottom/Customer/19_bottom_855.png,
