image,imprint
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_018.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_019.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_000.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_001.png,4
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_002.png,4
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_003.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_004.png,4
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_005.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_006.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_007.png,4
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_008.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_009.png,T 1
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_010.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_011.png,M
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_012.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_013.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_014.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_015.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_016.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_017.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_018.png,T
D:\ogyeiv2_crops\.\68/u/nebivolol_sandoz_5_mg_u_019.png,T
D:\ogyeiv2_crops\.\69/u/neo_citran_u_000.png,G34
D:\ogyeiv2_crops\.\69/u/neo_citran_u_001.png,G34
D:\ogyeiv2_crops\.\69/u/neo_citran_u_002.png,G3
D:\ogyeiv2_crops\.\69/u/neo_citran_u_003.png,G34
D:\ogyeiv2_crops\.\69/u/neo_citran_u_004.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_005.png,G3
D:\ogyeiv2_crops\.\69/u/neo_citran_u_006.png,G3
D:\ogyeiv2_crops\.\69/u/neo_citran_u_007.png,U
D:\ogyeiv2_crops\.\69/u/neo_citran_u_008.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_009.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_010.png,M
D:\ogyeiv2_crops\.\69/u/neo_citran_u_011.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_012.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_013.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_014.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_015.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_016.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_017.png,G34
D:\ogyeiv2_crops\.\69/u/neo_citran_u_018.png,G342
D:\ogyeiv2_crops\.\69/u/neo_citran_u_019.png,G342
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_000.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_001.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_002.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_003.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_004.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_005.png,MONARCH
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_006.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_007.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_008.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_009.png,E
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_010.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_011.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_012.png,M
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_013.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_014.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_015.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_016.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_017.png,Y
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_018.png,ALMOND
D:\ogyeiv2_crops\.\73/u/nolpaza_20_mg_u_019.png,ALMOND
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_000.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_001.png,A83
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_002.png,A83
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_003.png,G342
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_004.png,333
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_005.png,A83
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_006.png,A83
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_007.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_008.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_009.png,483
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_010.png,OPAL
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_011.png,OPAL
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_012.png,G3
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_013.png,G3
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_014.png,G3
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_015.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_016.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_017.png,T
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_018.png,ALMOND
D:\ogyeiv2_crops\.\80/u/panangin_158_mg_140_mg_u_019.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_000.png,SIM 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_001.png,SM 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_002.png,SM 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_003.png,SK 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_004.png,PLIVA 322
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_005.png,PLAIN 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_006.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_007.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_008.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_009.png,SM 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_010.png,SHG 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_011.png,B 1
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_012.png,B 1
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_013.png,B 1
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_014.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_015.png,T
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_016.png,ST 10
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_017.png,PLIVA 0145
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_018.png,PLAIN 01 HIS
D:\ogyeiv2_crops\.\91/u/sicor_10_mg_u_019.png,PLMIS
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_000.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_001.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_002.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_003.png,G342
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_004.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_005.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_006.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_007.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_008.png,G342
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_009.png,B 1
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_010.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_011.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_012.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_013.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_014.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_015.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_016.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_017.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_018.png,T
D:\ogyeiv2_crops\.\97/u/teva_ambrobene_30_mg_u_019.png,T
